연번,인허가관할기관,업소명,업종,업태,업소주소,영업상태
30997,인천광역시 서구,장터삼겹살,일반음식점,식육(숯불구이),인천광역시 서구 새오개로111번안길 17(1층 일부 신현동),정상
30998,인천광역시 서구,장터순대,일반음식점,한식,인천광역시 서구 가정로 101(가좌동),정상
30999,인천광역시 서구,장터순대국,일반음식점,한식,"인천광역시 서구 율도로 83(신현동, 1층 일부)",정상
31000,인천광역시 서구,장터순대타운,일반음식점,한식,"인천광역시 서구 대평로 11(심곡동, B동 1층 일부)",정상
31001,인천광역시 서구,장터숯불갈비삼겹살,일반음식점,식육(숯불구이),"인천광역시 서구 거북로 83(1,2층 석남동)",정상
31002,인천광역시 서구,장터엔국수,일반음식점,한식,인천광역시 서구 강남로 16(1층 석남동),정상
31003,인천광역시 서구,장터포차,일반음식점,호프/통닭,인천광역시 서구 검암동 662-5,정상
31004,인천광역시 서구,장터포차,일반음식점,한식,인천광역시 서구 원창로239번길 2(1층 가정동),정상
31005,인천광역시 서구,장혁민의부대찌개(석남점),일반음식점,기타,인천광역시 서구 길주로 78(석남동),정상
31006,인천광역시 서구,장호덕손만두(청라점),일반음식점,한식,인천광역시 서구 중봉대로612번길 10(지웰에스테이트 114호 청라동),정상
31007,인천광역시 서구,재;회,일반음식점,일식,인천광역시 서구 봉오재3로94번길 19(에이스타워 106호 가정동),정상
31008,인천광역시 서구,재포탕's,일반음식점,한식,"인천광역시 서구 원당대로 852(당하동, 창신프라자 201호)",정상
31009,인천광역시 서구,재휘푸드,일반음식점,한식,인천광역시 서구 청라라임로138번길 4-11(1층 일부호 청라동),정상
31010,인천광역시 서구,저스티어(Justeer),일반음식점,기타,인천광역시 서구 보석로18번안길 29(솔빛주택 1층 청라동),정상
31011,인천광역시 서구,저좀보세요마라탕,일반음식점,중국식,인천광역시 서구 새오개로 38(1층 석남동),정상
31012,인천광역시 서구,저팔계숯불플러스,일반음식점,식육(숯불구이),"인천광역시 서구 청라에메랄드로 99(지젤엠청라 지1층 B10,11호 청라동)",정상
31013,인천광역시 서구,전골의법칙,일반음식점,한식,인천광역시 서구 청라에메랄드로 99(지젤엠청라 1층 32호 청라동),정상
31014,인천광역시 서구,전라도 밥상,일반음식점,한식,인천광역시 서구 원당대로 331-15(2층 2호 왕길동),정상
31015,인천광역시 서구,전라도 우리식당,일반음식점,기타,인천광역시 서구 서곶로 741(백석동),정상
31016,인천광역시 서구,전라도맛집,일반음식점,정종/대포집/소주방,인천광역시 서구 가정로394번길 14(가정동),정상
31017,인천광역시 서구,전라도밥집,일반음식점,한식,인천광역시 서구 건지로 154(가좌동),정상
31018,인천광역시 서구,전라도삼겹연탄구이,일반음식점,기타,인천광역시 서구 석곶로 3(가정동),정상
31019,인천광역시 서구,전라도식당,일반음식점,한식,인천광역시 서구 원창로229번길 5(1층 일부 가정동),정상
31020,인천광역시 서구,전라도팥죽.팥칼국수,일반음식점,분식,인천광역시 서구 가정로307번길 10(1층 석남동),정상
31021,인천광역시 서구,전라도포차,일반음식점,정종/대포집/소주방,"인천광역시 서구 신석로77번길 24(석남동, 452-35)",정상
31022,인천광역시 서구,전라도한식부페,일반음식점,한식,"인천광역시 서구 열우물로 235(가좌동, 가재울프라자 101호)",정상
31023,인천광역시 서구,전설의그집,일반음식점,기타,인천광역시 서구 검단로487번길 15(마전동),정상
31024,인천광역시 서구,전설의본가불쭈꾸미(전본쭈),일반음식점,한식,"인천광역시 서구 북항로32번길 28(대건프라자 106, 107호 원창동)",정상
31025,인천광역시 서구,전설의옛날통닭,일반음식점,호프/통닭,인천광역시 서구 청라커낼로 229-14(1층 경서동),정상
